operateur;filiere;annee;code_region;nom_region;code_categorie_consommation;code_grand_secteur;code_secteur_naf2;nb_sites;conso_totale_mwh;conso_moyenne_mwh;nombre_de_mailles_secretisees;part_thermosensible;conso_totale_a_usages_thermosensibles_mwh;conso_totale_a_usages_non_thermosensibles_mwh;thermosensibilite_totale_kwh_dju;conso_totale_corrigee_de_l_alea_climatique_a_usages_thermosensibles_mwh;conso_moyenne_a_usages_thermosensibles_mwh;conso_moyenne_a_usages_non_thermosensibles_mwh;thermosensibilite_moyenne_kwh_dju;conso_moyenne_corrigee_de_l_alea_climatique_a_usages_thermosensibles_mwh;dju_a_tr;dju_a_tn;nombre_d_habitants;taux_de_logements_collectifs;taux_de_residences_principales;superficie_des_logements_30_m2;superficie_des_logements_30_a_40_m2;superficie_des_logements_40_a_60_m2;superficie_des_logements_60_a_80_m2;superficie_des_logements_80_a_100_m2;superficie_des_logements_100_m2;residences_principales_avant_1919;residences_principales_de_1919_a_1945;residences_principales_de_1946_a_1970;residences_principales_de_1971_a_1990;residences_principales_de_1991_a_2005;residences_principales_de_2006_a_2015;residences_principales_apres_2016;taux_de_chauffage_electrique
SICAE ELY;Electricité;2017;11;Île-de-France;ENT;INDUSTRIE;;15;8329.0;555.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE ELY;Electricité;2017;11;Île-de-France;RES;RESIDENTIEL;;11187;79014.0;7.0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE ELY;Electricité;2017;24;Centre-Val de Loire;ENT;AGRICULTURE;;13;1234.0;94.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE ELY;Electricité;2017;24;Centre-Val de Loire;ENT;INDUSTRIE;;20;9265.0;463.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE ELY;Electricité;2017;75;Nouvelle-Aquitaine;ENT;INDUSTRIE;;4;1534.0;383.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Est;Electricité;2017;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;16851;86308.05;5.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Oise;Electricité;2017;32;Hauts-de-France;ENT;AGRICULTURE;;106;9380.22;88.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Oise;Electricité;2017;32;Hauts-de-France;ENT;INDUSTRIE;;10;5042.38;504.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAE Oise;Electricité;2017;32;Hauts-de-France;ENT;INCONNU;;646;358307.17;554.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SICAP;Electricité;2017;24;Centre-Val de Loire;ENT;INDUSTRIE;;254;103026.32;405.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sivom d'Energies du Pays Toy;Electricité;2017;76;Occitanie;ENT;TERTIAIRE;;353;6048.0;17.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sivom d'Energies du Pays Toy;Electricité;2017;76;Occitanie;ENT;INCONNU;;49;330.0;6.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Société d'intérêt collectif agricole;Electricité;2017;32;Hauts-de-France;ENT;AGRICULTURE;;1;60.0;60.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;24;Centre-Val de Loire;ENT;TERTIAIRE;;;;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;24;Centre-Val de Loire;ENT;INCONNU;;1;4.93;4.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;52;Pays de la Loire;ENT;INDUSTRIE;;;;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;52;Pays de la Loire;ENT;TERTIAIRE;;1;9.05;9.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;52;Pays de la Loire;RES;RESIDENTIEL;;353;2200.93;6.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;75;Nouvelle-Aquitaine;ENT;AGRICULTURE;;2227;69778.72;31.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;75;Nouvelle-Aquitaine;ENT;TERTIAIRE;;2171;212048.65;97.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;130520;716355.98;5.0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRD;Electricité;2017;75;Nouvelle-Aquitaine;ENT;INCONNU;;11522;141684.57;12.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URM (Metz);Electricité;2017;44;Grand Est;ENT;INCONNU;;23;6218.31;270.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usines électrique municipale (UEM) Neuf-Brisach;Electricité;2017;44;Grand Est;ENT;INDUSTRIE;;36;21622.41;600.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usines électrique municipale (UEM) Neuf-Brisach;Electricité;2017;44;Grand Est;ENT;TERTIAIRE;;896;68643.98;76.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usines électrique municipale (UEM) Neuf-Brisach;Electricité;2017;44;Grand Est;RES;RESIDENTIEL;;11153;66775.12;5.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vialis;Electricité;2017;44;Grand Est;ENT;AGRICULTURE;;21;599.8;28.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caléo;Gaz;2016;44;Grand Est;ENT;AGRICULTURE;;1;35.1;35.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caléo;Gaz;2016;44;Grand Est;RES;RESIDENTIEL;;9845;142704.28;14.0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2016;44;Grand Est;ENT;AGRICULTURE;;2;71.0;35.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2016;44;Grand Est;ENT;INDUSTRIE;;774;183668.0;237.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2016;44;Grand Est;RES;RESIDENTIEL;;5583;80773.0;14.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2016;44;Grand Est;ENT;INCONNU;;;;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gascogne Energies Services;Gaz;2016;75;Nouvelle-Aquitaine;ENT;AGRICULTURE;;6;4340.0;723.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gascogne Energies Services;Gaz;2016;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;2437;22410.0;9.0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gascogne Energies Services;Gaz;2016;76;Occitanie;ENT;AGRICULTURE;;1;7860.0;7860.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaz de Barr;Gaz;2016;44;Grand Est;ENT;INDUSTRIE;;3;153642.0;51214.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaz électricité de Grenoble;Gaz;2016;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;202;163365.0;808.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaz électricité de Grenoble;Gaz;2016;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;2316;286051.0;123.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaz électricité de Grenoble;Gaz;2016;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;38780;221080.0;5.0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gazelec de Péronne;Gaz;2016;32;Hauts-de-France;ENT;TERTIAIRE;;1122;11558.0;10.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gedia;Gaz;2016;24;Centre-Val de Loire;ENT;INDUSTRIE;;17;46370.0;2727.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gedia;Gaz;2016;28;Normandie;ENT;TERTIAIRE;;1;680.0;680.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;11;Île-de-France;ENT;AGRICULTURE;;109;124675.0;1143.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;11;Île-de-France;ENT;INDUSTRIE;;1133;2566094.0;2264.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;11;Île-de-France;RES;RESIDENTIEL;;2605691;45048893.0;17.0;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;24;Centre-Val de Loire;ENT;INDUSTRIE;;661;2851172.0;4313.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;24;Centre-Val de Loire;ENT;TERTIAIRE;;2403;2360193.0;982.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;24;Centre-Val de Loire;RES;RESIDENTIEL;;436836;7399231.0;16.0;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;27;Bourgogne-Franche-Comté;ENT;INDUSTRIE;;749;3197929.0;4269.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;27;Bourgogne-Franche-Comté;ENT;TERTIAIRE;;2937;2906117.0;989.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;504647;9450786.0;18.0;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;27;Bourgogne-Franche-Comté;ENT;INCONNU;;173;221855.0;1282.0;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;28;Normandie;ENT;TERTIAIRE;;2827;3546329.0;1254.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;28;Normandie;ENT;INCONNU;;185;137894.0;745.0;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;44;Grand Est;ENT;AGRICULTURE;;59;134238.0;2275.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;44;Grand Est;ENT;INCONNU;;258;437670.0;1696.0;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;52;Pays de la Loire;ENT;AGRICULTURE;;148;340142.0;2298.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;53;Bretagne;ENT;AGRICULTURE;;166;916302.0;5519.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;53;Bretagne;ENT;INDUSTRIE;;566;4347613.0;7681.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;53;Bretagne;RES;RESIDENTIEL;;489751;6599922.0;13.0;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;53;Bretagne;ENT;INCONNU;;123;80161.0;651.0;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;75;Nouvelle-Aquitaine;ENT;TERTIAIRE;;3615;3007214.0;831.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2016;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;7463;7234524.0;969.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
